Time (min)	H01	H02	H03	H04
0.0	323.0	318.0	329.0	335.0
15.0	312.0	313.0	318.0	312.0
30.0	304.0	318.0	320.0	317.0
45.0	319.0	320.0	297.0	317.0
60.0	318.0	315.0	328.0	315.0
75.0	334.0	331.0	321.0	344.0
90.0	360.0	352.0	329.0	352.0
105.0	407.0	373.0	374.0	395.0
120.0	480.0	437.0	413.0	440.0
135.0	566.0	502.0	475.0	509.0
150.0	676.0	589.0	560.0	610.0
165.0	763.0	686.0	670.0	697.0
180.0	806.0	777.0	748.0	784.0
195.0	876.0	816.0	819.0	862.0
210.0	917.0	871.0	866.0	922.0
225.0	960.0	912.0	908.0	974.0
240.0	998.0	963.0	974.0	991.0
255.0	991.0	1012.0	989.0	1058.0
270.0	1013.0	1011.0	1006.0	1060.0
