						
	Average Photon Count			Relative oligomer count		
Channel position	AGITATED	IDLE		Agitated	1	1
1000	0	0		Idle	0.802930864789073	0.832883658446709
1100	0	0			all count	oligomer 2x monomer
1200	21.9359359359359	0				
1300	26.3793831168831	0				
1400	45.0400649153058	19.1483146067415				
1500	93.9202737877181	66.2580572603708				
1600	170.555894733459	596.020870909559				
1700	291.892773368465	2162.02978696057				
1800	478.729169345506	2743.74101089296				
1900	714.567585005484	298.287876353587				
2000	978.237299572635	843.521480672215				
2100	1080.71635311143	22.7010254863519				
2200	1227.93441938178	19.2843137254902				
2300	687.027416326795	18.8823529411764				
2400	261.551699762226	18				
2500	167.045691150954	19.4285714285714				
2600	30.5024738187515	17.7333333333333				
2700	20.4408396946564	17.3333333333333				
2800	19.9684210526315	19.095238095238				
2900	20.1385542168674	0				
3000	20.2365591397849	0				
